arena,enemy-1,enemy-2,result,target-note,misc-note
dalaran sewer,discipline priest,windwalker monk,won,killed priest,
blades edge,holy paladin,marksmanship hunter,won,killed hunter,
mugambala,fire mage,assassination rogue,lost,killed mage,no chaos bolts
ashamane's,restoration druid,unholy death knight,won,killed druid,
dalaran sewer,holy paladin,assassination rogue,lost,went for rogue,
dalaran sewer,holy paladin,windwalker monk,won,killed monk,
tigers peak,holy priest,assassination rogue,lost,_almost_ killed priest,no cookie
hook point,holy paladin,havoc demon hunter,won,trained DH,killed pally after martyr
tol'viron,restoration druid,assassination rogue,won,burst rogue,
dalaran sewer,holy priest,fire mage,won,burst mage,
ruins,mistweaver monk,havoc demon hunter,lost,kited by monk,
hook point,holy paladin,windwalker monk,lost,almost got monk,"couldnt finish after devin died, BoP"
mugambala,holy paladin,arms warrior,----,,no poisons
robodrome,fire mage,assassination rogue,won,killed mage,talented out of chaos bolt
ashamane's,holy paladin,arms warrior,won,killed warrior,
mugambala,holy paladin,assassination rogue,lost,,
ruins,holy paladin,elemental shaman,won,,
nagrand,restoration druid,havoc demon hunter,lost,,fucked up shadowsight
nagrand,discipline priest,survival hunter,won,killed hunter,
mugambala,holy paladin,destruction warlock,won,killed destro,
nagrand,holy priest,destruction warlock,lost,,chain CCd
blades edge,holy paladin,assassination rogue,lost,,
dalaran sewer,mistweaver monk,arms warrior,won,killed warrior,
robodrome,retribution paladin,assassination rogue,won,killed rogue,they waited forever and wasted time
blades edge,restoration druid,unholy death knight,won,killed DK,"split damage, druid was LOS from DK"
ruins,shadow priest,assassination rogue,won,,absolute clusterfuck bc of health swap
hook point,mistweaver monk,arms warrior,lost,,devin deleted himself with spell reflect
tol'viron,restoration druid,arms warrior,lost,,"split damage, no call for help"
black rook,holy paladin,assassination rogue,won,killed rogue,
dalaran sewer,retribution paladin,unholy death knight,won,started pally,"swapped targets with CDs - BoP, bubble, etc"
tol'viron,fire mage,assassination rogue,won,killed rogue,
nagrand,holy paladin,destruction warlock,lost,,fucking pillars
ruins,mistweaver monk,arms warrior,lost,,
nagrand,holy paladin,arms warrior,lost,,
blades edge,restoration druid,unholy death knight,lost,went for dk,didnt go on druid
robodrome,mistweaver monk,elemental shaman,lost,,
robodrome,holy paladin,survival hunter,won,killed hunter,
tol'viron,fire mage,assassination rogue,won,killed rogue,found him out of stealth
ruins,holy paladin,arms warrior,lost,killed arms,devin died
blades edge,holy paladin,arms warrior,lost,,
ashamane's,holy paladin,assassination rogue,lost,,
tigers peak,discipline priest,assassination rogue,won,killed rogue,priest was sapped at start
mugambala,restoration shaman,retribution paladin,lost,,fought up top
mugambala,fire mage,assassination rogue,lost,,shouldnt have gone in first
ruins,fire mage,havoc demon hunter,won,killed mage,they went for rogue?
mugambala,fire mage,assassination rogue,won,killed rogue,"sap rogue, blind rogue"
dalaran sewer,holy paladin,survival hunter,lost,,
tol'viron,discipline priest,assassination rogue,won,killed disc,got some good resets
blades edge,holy paladin,havoc demon hunter,won,killed paladin,absolutely TRAINED paladin
nagrand,holy paladin,assassination rogue,lost,,fucked up start
robodrome,restoration druid,destruction warlock,won,killed druid,"went for warlock, rogue swapped to druid"
robodrome,holy paladin,assassination rogue,won,killed rogue,no BoP went out
tigers peak,holy paladin,havoc demon hunter,lost,,no pet
robodrome,holy paladin,unholy death knight,lost,,
tol'viron,mistweaver monk,unholy death knight,won,killed DK,good CC on mistweaver
blades edge,fire mage,assassination rogue,won,killed rogue,"he opened first (lel), smoke bomb and blow everything"
black rook,arcane mage,destruction warlock,won,killed destro,"trinket-cloak before they burn me, smoke bomb"
dalaran sewer,fire mage,assassination rogue,lost,,
blades edge,restoration druid,arms warrior,won,killed resto,devin good about kiting
ruins,holy paladin,elemental shaman,lost,,no LoS so we fought on the fucking grave
nagrand,holy paladin,havoc demon hunter,lost,,
blades edge,restoration shaman,arms warrior,won,killed arms,"complete write-off, they were making ridiculous plays"
tol'viron,elemental shaman,destruction warlock,lost,killed destro,ele/devin duel
tol'viron,fire mage,assassination rogue,lost,,devin got polyd
ruins,fire mage,subtlety rogue,won,killed rogue,"really bad, only won bc of sublety"
nagrand,restoration shaman,arms warrior,lost,,
blades edge,mistweaver monk,arms warrior,won,killed mistweaver,arms did no damage
,holy paladin,assassination rogue,lost,,the usual
nagrand,discipline priest,assassination rogue,lost,,
ashamane,restoration druid,unholy death knight,lost,,couldnt reach druid
mugambala,destruction warlock,assassination rogue,won,killed destro,infernal stun on rogue open
ruins,restoration druid,windwalker monk,won,killed resto,druid was low mmr
tol'viron,restoration shaman,havoc demon hunter,lost,,devin died to dh
nagrand,holy paladin,destruction warlock,lost,,no kicks
ashamane,mistweaver monk,unholy death knight,lost,,
hook point,restoration shaman,windwalker monk,lost,,
dalaran sewer,mistweaver monk,windwalker monk,won,killed windwalker,"big stupid match, they did nothing but kite"
mugambala,restoration druid,destruction warlock,won,killed druid,"caught druid out of stealth, got sap/blind on lock"
tiger's peak,restoration shaman,havoc demon hunter,lost,went for shaman,"almost got, couldnt CC 5% healths"
hook point,restoration shaman,fire mage,won,"started mage, killed shaman","swapped during Ice Block, rogue kb from trinket-envenom behind pillar"
mugambala,holy paladin,havoc demon hunter,lost,,worlds largest pillar
robodrome,mistweaver monk,havoc demon hunter,lost,"rogue train monk, lock on dh",devin lost duel
blades edge,destruction warlock,subtlety rogue,won,,
ruins,fire mage,assassination rogue,won,,hit rogue out of stealth
mugambala,mistweaver monk,assassination rogue,won,,"devin shut down healer,i got boned on opener and thrown off ledge"
ruins,destruction warlock,assassination rogue,lost,,"devin in goo enemy on pillar,they got stronger opener"
ruins,destruction warlock,assassination rogue,won,,"stronger opener, they went on me"
mugambala,mistweaver monk,havoc demon hunter,won,,blind sap on DH while monk ran
robodrome,restoration druid,shadow priest,won,trained druid,split after health swap
