Title,Type,Format,Ripped?,Named?,Status
007 GoldenEye,Film,VHS,N,,
007 Tomorrow Never Dies,Film,VHS,N,,
101 Dalmations,Film,VHS,N,,
101 Dalmations II Patch's London Adventure,Film,VHS,N,,
102 Dalmations,Film,VHS,N,,
12 Monkeys,Film,VHS,N,,
2001 A Space Odyssey,Film,VHS,N,,
42 (2013),Film,DVD,Y,,
8 Mile (2002),Film,DVD,Y,,
A Bug's Life,Film,VHS,N,,
A Clockwork Orange (1971),Film,DVD,Y,,
A Knight's Tale (2001),Film,DVD,Y,,
A.I. Artificial Intelligence (2001),Film,DVD,Y,,
Accepted (2006),Film,DVD,Y,,
Airplane! (1980),Film,DVD,Y,,
Aladdin and the King of Thieves,Film,VHS,N,,
Alice in Wonderland,Film,VHS,N,,
Alien,Film,VHS,N,,
Alien (1979),Film,BluRay,Y,,
Alien 3,Film,VHS,N,,
Aliens,Film,VHS,N,,
aMOTION,Performance,DVD,Y,,
Anastasia,Film,VHS,N,,
Ant-Man (2015),Film,BluRay,Y,,
Ant-Man and the Wasp (2018),Film,BluRay,Y,,
Apocalypse Now (1979),Film,DVD,Y,,
Apollo 13,Film,VHS,N,,
Archer S1,Show,DVD,Y,N,
Archer S2,Show,DVD,Y,N,
Archer S3,Show,DVD,Y,N,
Archer S4,Show,DVD,Y,N,
Archer S5,Show,DVD,Y,N,
Archer S6,Show,DVD,Y,N,
Archer S7,Show,DVD,Y,N,
Army of Darkness (1992) Director's Cut,Film,DVD,Y,,
Army of Darkness (1992) Theatrical,Film,DVD,Y,,
Arrested Development S1,Show,DVD,N,N,
Arrested Development S2,Show,DVD,Y,N,
Arrested Development S3,Show,DVD,Y,N,
Arrested Development S4,Show,DVD,Y,Y,
Austin Powers International Man of Mystery,Film,VHS,N,,
Avengers - Age of Ultron (2015),Film,BluRay,Y,,
Avengers - Endgame (2019),Film,BluRay,Y,,
Avengers - Infinity War (2018),Film,BluRay,Y,,
AVP - Alien vs. Predator (2004),Film,DVD,Y,,
Ayreon The Theory of Everything,Performance,DVD,Y,,
Back to the Future,Film,VHS,N,,
Back to the Future,Film,VHS,N,,
Back to the Future II,Film,VHS,N,,
Back to the Future III,Film,VHS,N,,
Batman,Film,VHS,N,,
Batman (1989),Film,DVD,Y,,
Batman & Robin,Film,VHS,N,,
Batman Begins (2005),Film,DVD,Y,,
Batman Forever,Film,VHS,N,,
Batman Returns,Film,VHS,N,,
Battlestar Galactica S1,Show,BluRay,Y,Y,
Battlestar Galactica S2,Show,BluRay,Y,Y,
Beauty and the Beast,Film,VHS,N,,
Bionicle - Mask of Light (2003),Film,DVD,Y,,
Bionicle 2 - Legends of Metru Nui (2004),Film,DVD,Y,,
Bionicle 3 - Web of Shadows (2005),Film,DVD,Y,,
Black Cauldron,Film,VHS,N,,
Black Hawk Down (2001),Film,DVD,Y,,
Black Panther (2018),Film,BluRay,Y,,
Blade - Trinity (2004),Film,DVD,N,,
Blade (1998),Film,DVD,Y,,
Blade II (2002),Film,DVD,Y,,
Blade Runner,Film,VHS,N,,
Blade Runner (1982),Film,DVD,Y,,
Blazing Saddles,Film,VHS,N,,
Braveheart,Film,VHS,N,,
Bronson (2008),Film,BluRay,Y,,
Captain America - Civil War (2016),Film,BluRay,Y,,
Captain America - The First Avenger (2011),Film,BluRay,Y,,
Captain America - The Winter Soldier (2014),Film,BluRay,Y,,
Captain Marvel (2019),Film,BluRay,Y,,
Casper,Film,VHS,N,,
Chappelle's Show S1,Show,DVD,Y,N,
Chappelle's Show S2,Show,DVD,Y,N,
Chappelle's Show The Lost Episodes,Show,DVD,Y,N,
Chicken Run,Film,VHS,N,,
Cinderella,Film,VHS,N,,
Classic Scooby-Doo Scooby-Doo And A Mummy Too,Show,VHS,N,,
Clear and Present Danger,Film,VHS,N,,
Click (2006),Film,DVD,Y,,
Close Encounters of the Third Kind (1977),Film,BluRay,Y,,
Coheed and Cambria No World For Tomorrow,Performance,DVD,Y,,
Constantine (2005),Film,DVD,Y,,
Dark Star (1974),Film,DVD,Y,,
Dead Poet's Society,Film,VHS,N,,
Deadpool (2016),Film,BluRay,Y,,
Deadpool 2 (2018),Film,BluRay,Y,,
Deadpool 2 Super Duper Cut (2018),Film,BluRay,Y,,
Death Race 2000,Film,VHS,N,,
Death Race 2050 (2017),Film,BluRay,Y,,
Detective Pikachu,Film,BluRay,N,,
Devin Townsend Devolution Series #2 Galactic Quarantine,Performance,,Y,,
Devin Townsend Order of Magnitude Empath Live Volume 1,Performance,,Y,,
Devin Townsend Project Ocean Machine Live at the Ancient Roman Theater Plovdiv,Performance,,Y,,
Devin Townsend Royal Albert Hall,Performance,,Y,,
Devin Townsend The Puzzle,Performance,,Y,,
Devin Townsend The Retinal Circus,Performance,Blu-ray,Y,,
DFDVD,Performance,,Y,,
DFDVD2,Performance,,Y,,
Digimon Adventure tri. Loss (2017),Film,BluRay,Y,,
Digimon Adventure tri. Reunion (2015),Film,BluRay,Y,,
Dinosaur,Film,VHS,N,,
District 9 (2009),Film,BluRay,Y,,
Django Unchained (2012),Film,DVD,Y,,
Doctor Strange (2007),Film,DVD,Y,,
Doctor Strange (2016),Film,DVD,Y,,"BluRay case, missing BR disc"
Dr. Horrible's Sing-Along Blog (2008),Film,DVD,Y,,
Dream Theater Metropolis 2000: Scenes From New York,Performance,DVD,Y,,
Dumb and Dumber,Film,VHS,N,,
Dumbo,Film,VHS,N,,
Dune,Film,VHS,N,,
E.T The Extra-Terrestrial,Film,VHS,N,,
Elektra (2005),Film,DVD,Y,,
Elysium (2013),Film,BluRay,Y,,
Engineering an Empire,Show,DVD,Y,Y,
Enter the Dragon (1973),Film,DVD,Y,,
Family Guy Presents - Stewie Griffin - The Untold Story (2005),Film,DVD,Y,,
Fantasia,Film,VHS,N,,
Fantasia 2000,Film,VHS,N,,
Fantastic Four (2005),Film,DVD,Y,,
Ferris Bueller's Day Off,Film,VHS,N,,
Fight Club (1999),Film,DVD,Y,,
Firefly,Show,DVD,Y,N,
Flubber,Film,VHS,N,,
Full Metal Jacket (1987),Film,DVD,Y,,
Futurama Bender's Big Score,Film,DVD,N,,
Futurama Bender's Game,Film,DVD,N,,
Futurama Into the Wild Green Yonder,Film,DVD,N,,
Futurama S1,Show,DVD,N,,
Futurama S2,Show,DVD,N,,
Futurama S3,Show,DVD,Y,N,
Futurama S4,Show,DVD,Y,N,
Futurama S5,Show,DVD,Y,N,
Futurama S6,Show,DVD,N,,
Futurama S7,Show,DVD,N,,
Futurama S8,Show,DVD,N,,
Futurama The Beast with a Billion Backs,Film,DVD,N,,
Galaxy Quest (1999),Film,DVD,Y,,
Gangs of New York (2002),Film,BluRay,Y,,
Gattaca (1997),Film,BluRay,Y,,
George of the Jungle,Film,VHS,N,,
Get Out (2017),Film,BluRay,Y,,
Ghost Rider (2007),Film,DVD,Y,,
Ghostbusters (1984),Film,DVD,Y,,
Godzilla The King of Monsters,Film,VHS,N,,
